benchmark,architecture,memory_mb,timeout_sec,idle_gap_sec,invocations,failed_invocations,success_rate,cold_probability,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,profile_source,warm_mean_client_latency_ms,warm_p95_latency_ms,estimated_cold_overhead_ms,estimated_p95_cold_overhead_ms
210.thumbnailer,arm64,2048,120,-1,1,0,1.0,1.0,1,662.564,662.564,662.564,measured,72.42833333333333,72.8232,590.1356666666667,589.7407999999999
210.thumbnailer,arm64,2048,120,0,1,0,1.0,1.0,1,685.631,685.631,685.631,warmup_only,72.42833333333333,72.8232,613.2026666666667,612.8077999999999
210.thumbnailer,arm64,2048,300,-1,1,0,1.0,1.0,1,671.651,671.651,671.651,measured,72.163,72.3849,599.4879999999999,599.2660999999999
210.thumbnailer,arm64,2048,300,0,1,0,1.0,1.0,1,713.94,713.94,713.94,warmup_only,72.163,72.3849,641.777,641.5551
210.thumbnailer,arm64,2048,900,-1,1,0,1.0,1.0,1,671.25,671.25,671.25,measured,70.35933333333334,71.1032,600.8906666666667,600.1468
210.thumbnailer,arm64,2048,900,0,1,0,1.0,1.0,1,682.229,682.229,682.229,warmup_only,70.35933333333334,71.1032,611.8696666666667,611.1258
210.thumbnailer,arm64,3008,60,-1,1,0,1.0,1.0,1,652.833,652.833,652.833,measured,71.42066666666666,71.9844,581.4123333333333,580.8486
210.thumbnailer,arm64,3008,60,0,1,0,1.0,1.0,1,666.62,666.62,666.62,warmup_only,71.42066666666666,71.9844,595.1993333333334,594.6356000000001
210.thumbnailer,arm64,3008,120,-1,1,0,1.0,1.0,1,651.043,651.043,651.043,measured,72.25366666666666,72.4568,578.7893333333334,578.5862
210.thumbnailer,arm64,3008,120,0,1,0,1.0,1.0,1,672.029,672.029,672.029,warmup_only,72.25366666666666,72.4568,599.7753333333334,599.5722
210.thumbnailer,arm64,3008,300,-1,1,0,1.0,1.0,1,659.587,659.587,659.587,measured,71.43566666666666,71.79169999999999,588.1513333333334,587.7953
210.thumbnailer,arm64,3008,300,0,1,0,1.0,1.0,1,663.512,663.512,663.512,warmup_only,71.43566666666666,71.79169999999999,592.0763333333333,591.7203
210.thumbnailer,arm64,3008,900,-1,1,0,1.0,1.0,1,660.732,660.732,660.732,measured,70.783,71.87320000000001,589.949,588.8588
210.thumbnailer,arm64,3008,900,0,1,0,1.0,1.0,1,681.748,681.748,681.748,warmup_only,70.783,71.87320000000001,610.965,609.8748
311.compression,arm64,128,60,-1,1,0,1.0,1.0,1,971.762,971.762,971.762,measured,406.229,409.906,565.5329999999999,561.856
311.compression,arm64,128,60,0,1,0,1.0,1.0,1,984.04,984.04,984.04,warmup_only,406.229,409.906,577.8109999999999,574.134
311.compression,arm64,128,120,-1,1,0,1.0,1.0,1,994.228,994.228,994.228,measured,405.0896666666667,407.997,589.1383333333333,586.231
311.compression,arm64,128,120,0,1,0,1.0,1.0,1,979.865,979.865,979.865,warmup_only,405.0896666666667,407.997,574.7753333333333,571.8679999999999
311.compression,arm64,128,300,-1,1,0,1.0,1.0,1,988.609,988.609,988.609,measured,402.6883333333333,403.9271,585.9206666666668,584.6819
311.compression,arm64,128,300,0,1,0,1.0,1.0,1,1021.801,1021.801,1021.801,warmup_only,402.6883333333333,403.9271,619.1126666666668,617.8739
311.compression,arm64,128,900,-1,1,0,1.0,1.0,1,1537.453,1537.453,1537.453,measured,403.0026666666667,406.3033,1134.4503333333332,1131.1497
311.compression,arm64,128,900,0,1,0,1.0,1.0,1,1042.882,1042.882,1042.882,warmup_only,403.0026666666667,406.3033,639.8793333333333,636.5787
311.compression,arm64,256,60,-1,1,0,1.0,1.0,1,969.396,969.396,969.396,measured,403.62433333333337,408.7648,565.7716666666665,560.6312
311.compression,arm64,256,60,0,1,0,1.0,1.0,1,999.572,999.572,999.572,warmup_only,403.62433333333337,408.7648,595.9476666666667,590.8072
311.compression,arm64,256,120,-1,1,0,1.0,1.0,1,1000.969,1000.969,1000.969,measured,402.944,404.9547,598.0250000000001,596.0143
311.compression,arm64,256,120,0,1,0,1.0,1.0,1,965.479,965.479,965.479,warmup_only,402.944,404.9547,562.5350000000001,560.5243
311.compression,arm64,256,300,-1,1,0,1.0,1.0,1,1011.744,1011.744,1011.744,measured,395.42266666666666,396.3565,616.3213333333333,615.3875
311.compression,arm64,256,300,0,1,0,1.0,1.0,1,1007.796,1007.796,1007.796,warmup_only,395.42266666666666,396.3565,612.3733333333334,611.4395000000001
311.compression,arm64,256,900,-1,1,0,1.0,1.0,1,1052.903,1052.903,1052.903,measured,402.227,406.8112,650.676,646.0918
311.compression,arm64,256,900,0,1,0,1.0,1.0,1,1064.973,1064.973,1064.973,warmup_only,402.227,406.8112,662.746,658.1618
311.compression,arm64,512,60,-1,1,0,1.0,1.0,1,979.152,979.152,979.152,measured,401.77566666666667,403.683,577.3763333333334,575.469
311.compression,arm64,512,60,0,1,0,1.0,1.0,1,986.904,986.904,986.904,warmup_only,401.77566666666667,403.683,585.1283333333333,583.221
311.compression,arm64,512,120,-1,1,0,1.0,1.0,1,979.962,979.962,979.962,measured,402.4726666666667,409.4031,577.4893333333332,570.5589
311.compression,arm64,512,120,0,1,0,1.0,1.0,1,982.684,982.684,982.684,warmup_only,402.4726666666667,409.4031,580.2113333333332,573.2809
311.compression,arm64,512,300,-1,1,0,1.0,1.0,1,1030.941,1030.941,1030.941,measured,402.934,403.9775,628.0070000000001,626.9635000000001
311.compression,arm64,512,300,0,1,0,1.0,1.0,1,1003.644,1003.644,1003.644,warmup_only,402.934,403.9775,600.71,599.6665
311.compression,arm64,512,900,-1,1,0,1.0,1.0,1,1040.283,1040.283,1040.283,measured,400.3453333333334,403.8463,639.9376666666665,636.4367
311.compression,arm64,512,900,0,1,0,1.0,1.0,1,1067.85,1067.85,1067.85,warmup_only,400.3453333333334,403.8463,667.5046666666665,664.0037
311.compression,arm64,1024,60,-1,1,0,1.0,1.0,1,1014.031,1014.031,1014.031,measured,402.3966666666667,404.1115,611.6343333333332,609.9195
311.compression,arm64,1024,60,0,1,0,1.0,1.0,1,1466.754,1466.754,1466.754,warmup_only,402.3966666666667,404.1115,1064.3573333333331,1062.6425
311.compression,arm64,1024,120,-1,1,0,1.0,1.0,1,1028.244,1028.244,1028.244,measured,400.59833333333336,407.2146,627.6456666666666,621.0293999999999
311.compression,arm64,1024,120,0,1,0,1.0,1.0,1,1472.968,1472.968,1472.968,warmup_only,400.59833333333336,407.2146,1072.3696666666667,1065.7534
311.compression,arm64,1024,300,-1,1,0,1.0,1.0,1,1065.629,1065.629,1065.629,measured,398.3753333333333,399.5974,667.2536666666666,666.0315999999999
311.compression,arm64,1024,300,0,1,0,1.0,1.0,1,1335.492,1335.492,1335.492,warmup_only,398.3753333333333,399.5974,937.1166666666667,935.8946
311.compression,arm64,1024,900,-1,1,0,1.0,1.0,1,1086.915,1086.915,1086.915,measured,403.597,406.9809,683.318,679.9341
